ID,fdr_pval,pval,zval,Gene_Name
CALM1,6.78E-06,6.87E-10,6.169166226,calmodulin 1
NSUN6,6.78E-06,1.93E-09,-6.003483316,NOP2/Sun RNA methyltransferase family member 6
PSMB7,6.78E-06,2.15E-09,5.985985897,proteasome subunit beta 7
TEX10,6.78E-06,1.89E-09,-6.006881244,testis expressed 10
ADORA2A /// SPECC1L-ADORA2A,8.67E-06,4.13E-09,-5.879031586,NA
LOC101928747 /// RBMX /// SNORD61,8.67E-06,4.12E-09,-5.879207812,NA
ANP32B,8.73E-06,7.17E-09,-5.786889258,acidic nuclear phosphoprotein 32 family member B
ATP6V1G2-DDX39B /// DDX39B /// SNORD84,8.73E-06,7.10E-09,-5.788610306,NA
KCNE4,8.73E-06,7.09E-09,-5.788826604,potassium voltage-gated channel subfamily E regulatory subunit 4
UGP2,8.73E-06,6.27E-09,5.809525382,UDP-glucose pyrophosphorylase 2
ZNF415,8.73E-06,7.62E-09,5.776703177,zinc finger protein 415
MT1M,9.26E-06,9.55E-09,-5.738540745,metallothionein 1M
PRDX2,9.26E-06,9.34E-09,-5.742383165,peroxiredoxin 2
SLC25A46,9.31E-06,1.03E-08,-5.72508236,solute carrier family 25 member 46
CCNC,1.94E-05,2.48E-08,-5.574466056,cyclin C
NOTCH2NL,1.94E-05,2.61E-08,-5.565930703,notch 2 N-terminal like
UQCRC2,1.94E-05,2.62E-08,5.565119686,ubiquinol-cytochrome c reductase core protein 2
NRD1,2.54E-05,3.63E-08,-5.508178886,NA
GOT1,2.98E-05,4.49E-08,5.470453088,glutamic-oxaloacetic transaminase 1
SLC22A18AS,3.29E-05,5.22E-08,-5.443800278,solute carrier family 22 member 18 antisense
IPW /// LOC101930404 /// PWARSN /// SNORD107 /// SNORD115-13 /// SNORD115-26 /// SNORD115-7 /// SNORD116-22 /// SNORD116-28 /// SNORD116-4 /// SNRPN,3.31E-05,5.52E-08,-5.433852945,NA
CXCR4,3.97E-05,6.92E-08,-5.393142268,C-X-C motif chemokine receptor 4
HSD17B7,5.71E-05,1.04E-07,-5.319508726,hydroxysteroid 17-beta dehydrogenase 7
RUFY3,6.07E-05,1.16E-07,-5.30038181,RUN and FYVE domain containing 3
PLSCR4,6.18E-05,1.22E-07,-5.289803436,phospholipid scramblase 4
C3orf14,6.96E-05,1.48E-07,5.254568034,chromosome 3 open reading frame 14
KIAA0100,6.96E-05,1.52E-07,-5.250486907,KIAA0100
LOC101928830 /// LTA4H,6.96E-05,1.55E-07,5.247035692,NA
GLTSCR1,8.42E-05,1.94E-07,-5.205424258,NA
CD200,9.74E-05,2.32E-07,5.171989754,CD200 molecule
CCK,0.000143389,3.64E-07,5.086976568,cholecystokinin
PIK3CB,0.000143389,3.57E-07,-5.090563794,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"
ATP9A,0.000151841,3.97E-07,-5.070246487,ATPase phospholipid transporting 9A (putative)
ANKRD28,0.000166239,4.61E-07,-5.041732447,ankyrin repeat domain 28
LRP4,0.000166239,4.52E-07,-5.045520429,LDL receptor related protein 4
DDIT4,0.000166619,4.76E-07,-5.035902724,DNA damage inducible transcript 4
ZNF721,0.000171739,5.04E-07,-5.02484783,zinc finger protein 721
PDLIM1,0.000197725,5.96E-07,-4.992590625,PDZ and LIM domain 1
KIZ,0.000202158,6.27E-07,4.982587972,kizuna centrosomal protein
PXDC1,0.000202158,6.41E-07,-4.978388248,PX domain containing 1
CMAS,0.000202797,6.59E-07,4.972994135,cytidine monophosphate N-acetylneuraminic acid synthetase
ID2 /// ID2B,0.000231305,7.70E-07,-4.942750227,NA
FAM168A,0.000238775,8.14E-07,-4.931958962,family with sequence similarity 168 member A
SCARF1,0.000250478,9.01E-07,-4.912196017,scavenger receptor class F member 1
SCG2,0.000250478,9.14E-07,4.909396034,secretogranin II
TUBB,0.000250478,9.11E-07,4.91002963,tubulin beta class I
MIR943 /// NELFA,0.000251054,9.36E-07,-4.904725688,NA
ENGASE,0.000262302,1.02E-06,-4.886832556,endo-beta-N-acetylglucosaminidase
HLA-DRB4,0.000262302,1.02E-06,-4.888060972,"major histocompatibility complex, class II, DR beta 4"
TALDO1,0.000262302,1.04E-06,4.883935723,transaldolase 1
ZNF204P,0.000314999,1.27E-06,4.843801135,"zinc finger protein 204, pseudogene"
GUCY1B3,0.000317873,1.31E-06,4.838138538,NA
EEF1A2,0.000333356,1.40E-06,4.824879822,eukaryotic translation elongation factor 1 alpha 2
TIMM8A,0.000348249,1.49E-06,-4.812428311,translocase of inner mitochondrial membrane 8A
CNTD2,0.00036217,1.61E-06,-4.797386064,cyclin N-terminal domain containing 2
SST,0.00036217,1.61E-06,4.797309254,somatostatin
AEBP1,0.000415075,1.89E-06,-4.764588877,AE binding protein 1
CIT /// MIR1178,0.000415075,1.97E-06,-4.756260239,NA
SFXN3,0.000415075,1.99E-06,-4.754012743,sideroflexin 3
SLC35E2 /// SLC35E2B,0.000415075,1.93E-06,-4.76017237,NA
UQCRFS1,0.000415075,2.01E-06,4.752660106,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"
ATP5B,0.000422288,2.08E-06,4.745886819,NA
HEY2,0.000424767,2.14E-06,-4.739568989,hes related family bHLH transcription factor with YRPW motif 2
TAOK2,0.000424767,2.16E-06,-4.738271114,TAO kinase 2
CALB1,0.000427995,2.23E-06,4.7314406,calbindin 1
UBL3,0.000427995,2.24E-06,4.730493457,ubiquitin like 3
RP4-581F12.1,0.000434162,2.31E-06,-4.724533531,NA
APPL1,0.000442115,2.48E-06,-4.709687462,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1"
MTPAP,0.000442115,2.49E-06,4.70903581,mitochondrial poly(A) polymerase
PYCR1,0.000442115,2.48E-06,-4.70990466,pyrroline-5-carboxylate reductase 1
RAB13,0.000442115,2.41E-06,-4.715941548,"RAB13, member RAS oncogene family"
AFG3L2,0.000466313,2.66E-06,-4.695303436,AFG3 like matrix AAA peptidase subunit 2
STAT4,0.000486793,2.82E-06,4.683685218,signal transducer and activator of transcription 4
DNTTIP2,0.000531438,3.16E-06,4.660115987,deoxynucleotidyltransferase terminal interacting protein 2
NGRN,0.000531438,3.13E-06,-4.662015356,"neugrin, neurite outgrowth associated"
EPM2AIP1,0.00054993,3.31E-06,4.650340005,EPM2A interacting protein 1
IL10RA,0.00058618,3.64E-06,-4.630965106,interleukin 10 receptor subunit alpha
PCDH12,0.00058618,3.58E-06,-4.634176261,protocadherin 12
RNF41,0.00058618,3.67E-06,-4.629146639,ring finger protein 41
SEPHS1,0.000594122,3.77E-06,4.623751501,selenophosphate synthetase 1
GRAMD1C,0.000642135,4.12E-06,-4.605029169,GRAM domain containing 1C
CDS2,0.000656429,4.29E-06,-4.596850748,CDP-diacylglycerol synthase 2
GRAMD3,0.000656429,4.32E-06,-4.595362319,NA
ATPIF1,0.000719048,4.83E-06,4.571881404,NA
ID3,0.000719048,4.90E-06,-4.568891057,"inhibitor of DNA binding 3, HLH protein"
RPL19,0.000719048,4.87E-06,4.57023864,ribosomal protein L19
SNX3,0.000731375,5.05E-06,4.562900792,sorting nexin 3
ACAD10,0.000734449,5.12E-06,-4.55962089,acyl-CoA dehydrogenase family member 10
BAZ1A,0.000757923,5.35E-06,-4.55063255,bromodomain adjacent to zinc finger domain 1A
NDRG4,0.000796523,5.68E-06,4.53781394,NDRG family member 4
TGFBR3,0.000801667,5.78E-06,-4.534123745,transforming growth factor beta receptor 3
ASCC3,0.000828373,6.07E-06,4.524074112,activating signal cointegrator 1 complex subunit 3
PKM,0.000828373,6.11E-06,4.522603343,pyruvate kinase M1/2
PSMG2,0.000833923,6.22E-06,4.518926099,proteasome assembly chaperone 2
MRPL46,0.000835929,6.34E-06,4.51473707,mitochondrial ribosomal protein L46
P2RY6,0.000835929,6.36E-06,-4.513956731,pyrimidinergic receptor P2Y6
LMO4,0.000838721,6.45E-06,4.51105255,LIM domain only 4
RP11-395B7.7,0.000851271,6.61E-06,-4.505724166,NA
FBXW4P1,0.000855669,6.72E-06,-4.502473383,F-box and WD repeat domain containing 4 pseudogene 1
P4HTM,0.001076818,8.54E-06,4.451228547,"prolyl 4-hydroxylase, transmembrane"
ZSWIM1,0.00111594,8.94E-06,-4.441419945,zinc finger SWIM-type containing 1
FOXO4,0.001132655,9.16E-06,-4.436098626,forkhead box O4
ADD1,0.001139403,9.40E-06,-4.430633992,adducin 1
RHBDD3,0.001139403,9.39E-06,-4.430709342,rhomboid domain containing 3
INA,0.001152226,9.59E-06,4.426155317,internexin neuronal intermediate filament protein alpha
FHL2,0.001173147,9.86E-06,4.420222291,four and a half LIM domains 2
PRMT2,0.001257963,1.07E-05,-4.403078819,protein arginine methyltransferase 2
CARTPT,0.001272552,1.09E-05,4.398558827,CART prepropeptide
DDX56,0.001284879,1.11E-05,-4.394463902,DEAD-box helicase 56
GABBR2,0.001286898,1.12E-05,4.392138143,gamma-aminobutyric acid type B receptor subunit 2
LEPREL4,0.001307962,1.16E-05,-4.384686951,NA
PFKFB3,0.001307962,1.16E-05,-4.385685052,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
MPP1,0.001327626,1.19E-05,4.379500641,membrane palmitoylated protein 1
CROCCP2,0.00134194,1.21E-05,-4.375208431,"ciliary rootlet coiled-coil, rootletin pseudogene 2"
NDUFC2 /// NDUFC2-KCTD14,0.00134194,1.22E-05,4.373336186,NA
FAM169A,0.001352735,1.25E-05,-4.368637956,family with sequence similarity 169 member A
PKD1P1,0.001352735,1.26E-05,-4.367026999,"polycystin 1, transient receptor potential channel interacting pseudogene 1"
SLC38A7,0.001352735,1.27E-05,-4.365962521,solute carrier family 38 member 7
MT2A,0.001389822,1.31E-05,-4.358200741,metallothionein 2A
KBTBD11,0.001398809,1.33E-05,4.354956895,kelch repeat and BTB domain containing 11
RTN1,0.001421179,1.36E-05,4.349660567,reticulon 1
SLC25A4,0.001445088,1.40E-05,4.344193718,solute carrier family 25 member 4
PLXNB1,0.001469471,1.43E-05,-4.338724785,plexin B1
GOT2,0.001562965,1.54E-05,4.323362022,glutamic-oxaloacetic transaminase 2
PCYOX1L,0.001627643,1.61E-05,4.312637025,prenylcysteine oxidase 1 like
VEZF1,0.001649452,1.65E-05,-4.307931649,vascular endothelial zinc finger 1
CD2BP2,0.00165097,1.67E-05,4.305090661,CD2 cytoplasmic tail binding protein 2
PSTPIP1,0.00165097,1.69E-05,-4.302519111,proline-serine-threonine phosphatase interacting protein 1
08-Sep,0.00165097,1.69E-05,-4.302611535,NA
OSTF1,0.001674125,1.73E-05,4.297721481,osteoclast stimulating factor 1
NMB,0.001679363,1.74E-05,-4.295329192,neuromedin B
MICALL2,0.001693896,1.77E-05,-4.291729332,MICAL like 2
RASL12,0.001721538,1.82E-05,-4.286457394,RAS like family 12
LOC101928669 /// LOC644450,0.001722835,1.83E-05,-4.284624839,NA
EMC10,0.001748432,1.89E-05,-4.278047161,ER membrane protein complex subunit 10
UCHL1,0.001748432,1.87E-05,4.279574246,ubiquitin C-terminal hydrolase L1
PDLIM4,0.001764145,1.92E-05,-4.274422615,PDZ and LIM domain 4
EGR2,0.001819179,1.99E-05,4.265949508,early growth response 2
MUC6,0.001832645,2.03E-05,-4.261088634,"mucin 6, oligomeric mucus/gel-forming"
TCIRG1,0.001832645,2.02E-05,-4.262499678,"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3"
FGF12,0.00193915,2.17E-05,4.246853409,fibroblast growth factor 12
SERPINI2,0.001955505,2.20E-05,-4.243385613,serpin family I member 2
PPM1F,0.001969411,2.23E-05,-4.240220964,"protein phosphatase, Mg2+/Mn2+ dependent 1F"
WDR82,0.001972569,2.25E-05,-4.238296701,WD repeat domain 82
PTPN3,0.001999782,2.30E-05,4.233663722,"protein tyrosine phosphatase, non-receptor type 3"
MRPL15,0.002009954,2.33E-05,4.230977575,mitochondrial ribosomal protein L15
SIRT3,0.002019327,2.35E-05,4.228395314,sirtuin 3
FOXD1,0.002154206,2.56E-05,-4.20925939,forkhead box D1
LOC100272216,0.002154206,2.56E-05,-4.209555675,NA
RP11-403P17.4,0.002154206,2.56E-05,-4.209742372,NA
MYOM1,0.002189619,2.62E-05,-4.204070692,myomesin 1
OSBPL11,0.002226006,2.68E-05,-4.198846082,oxysterol binding protein like 11
UBN1,0.002244888,2.72E-05,-4.195446809,ubinuclein 1
RNPEPL1,0.002291265,2.80E-05,-4.18933183,arginyl aminopeptidase like 1
PNOC,0.002311202,2.84E-05,4.185895516,prepronociceptin
MLLT11,0.002321805,2.87E-05,4.183394735,"MLLT11, transcription factor 7 cofactor"
NCOR2,0.002337373,2.91E-05,-4.180423269,nuclear receptor corepressor 2
DVL1,0.002407001,3.02E-05,-4.172297823,dishevelled segment polarity protein 1
CXCL1,0.002411892,3.04E-05,-4.170397977,C-X-C motif chemokine ligand 1
EFHD1,0.002424365,3.08E-05,-4.16779307,EF-hand domain family member D1
