"index","probe.id","gene.id"
1,"1007_s_at","DDR1"
2,"1053_at","RFC2"
3,"117_at","HSPA6"
4,"121_at","PAX8"
5,"1255_g_at","GUCA1A"
6,"1294_at","UBA7"
7,"1316_at","THRA"
8,"1320_at","PTPN21"
9,"1405_i_at","CCL5"
10,"1431_at","CYP2E1"
11,"1438_at","EPHB3"
12,"1487_at","ESRRA"
13,"1494_f_at","CYP2A6"
9935,"1598_g_at","GAS6"
9936,"160020_at","MMP14"
9937,"1729_at","TRADD"
9938,"1773_at","FNTB"
9939,"177_at","PLD1"
9940,"179_at","DTX2P1-UPK3BP1-PMS2P11"
9941,"1861_at","BAD"
9942,"200000_s_at","PRPF8"
9943,"200001_at","CAPNS1"
9944,"200002_at","RPL35"
9945,"200003_s_at","RPL28"
9946,"200004_at","EIF4G2"
9947,"200005_at","EIF3D"
9948,"200006_at","PARK7"
9949,"200007_at","SRP14"
9950,"200008_s_at","GDI2"
9951,"200009_at","GDI2"
9952,"200010_at","RPL11"
9953,"200011_s_at","ARF3"
9954,"200012_x_at","RPL21"
9955,"200013_at","RPL24"
9956,"200014_s_at","HNRNPC"
9957,"200015_s_at","SEPTIN2"
9958,"200016_x_at","HNRNPA1"
9959,"200017_at","RPS27A"
9960,"200018_at","RPS13"
9961,"200019_s_at","FAU"
9962,"200020_at","TARDBP"
9963,"200021_at","CFL1"
9964,"200022_at","RPL18"
9965,"200023_s_at","EIF3F"
9966,"200024_at","RPS5"
9967,"200025_s_at","RPL27"
9968,"200026_at","RPL34"
9969,"200027_at","NARS1"
9970,"200028_s_at","STARD7"
9971,"200029_at","RPL19"
9972,"200030_s_at","SLC25A3"
9973,"200031_s_at","RPS11"
9974,"200032_s_at","RPL9"
9975,"200033_at","DDX5"
9976,"200034_s_at","RPL6"
9977,"200035_at","CTDNEP1"
9978,"200036_s_at","RPL10A"
9979,"200037_s_at","CBX3"
9980,"200038_s_at","RPL17"
9981,"200039_s_at","PSMB2"
9982,"200040_at","KHDRBS1"
9983,"200041_s_at","DDX39B"
9984,"200042_at","RTCB"
9985,"200043_at","ERH"
9986,"200044_at","SRSF9"
9987,"200045_at","ABCF1"
9988,"200046_at","DAD1"
9989,"200047_s_at","YY1"
9990,"200048_s_at","JTB"
9991,"200049_at","KAT7"
9992,"200050_at","ZNF146"
9993,"200051_at","SART1"
9994,"200052_s_at","ILF2"
9995,"200053_at","SPAG7"
9996,"200054_at","ZPR1"
9997,"200055_at","TAF10"
9998,"200056_s_at","C1D"
9999,"200057_s_at","NONO"
10000,"200058_s_at","SNRNP200"
10001,"200059_s_at","RHOA"
10002,"200060_s_at","RNPS1"
10003,"200061_s_at","RPS24"
10004,"200062_s_at","RPL30"
10005,"200063_s_at","NPM1"
10006,"200064_at","HSP90AB1"
10007,"200065_s_at","ARF1"
10008,"200066_at","IK"
10009,"200067_x_at","SNX3"
10010,"200068_s_at","CANX"
10011,"200069_at","SART3"
10012,"200070_at","CNPPD1"
10013,"200071_at","SMNDC1"
10014,"200072_s_at","HNRNPM"
10015,"200073_s_at","HNRNPD"
10016,"200074_s_at","RPL14"
10017,"200075_s_at","GUK1"
10018,"200076_s_at","KXD1"
10019,"200077_s_at","OAZ1"
10020,"200078_s_at","ATP6V0B"
10021,"200079_s_at","KARS1"
10022,"200080_s_at","H3-3A"
10023,"200081_s_at","RPS6"
10024,"200082_s_at","RPS7"
10025,"200083_at","USP22"
10026,"200084_at","C11orf58"
10027,"200085_s_at","ELOB"
10028,"200086_s_at","COX4I1"
10029,"200087_s_at","TMED2"
10030,"200088_x_at","RPL12"
10031,"200089_s_at","RPL4"
10032,"200090_at","FNTA"
10033,"200091_s_at","RPS25"
10034,"200092_s_at","RPL37"
10035,"200093_s_at","HINT1"
10036,"200094_s_at","EEF2"
10037,"200095_x_at","RPS10"
10038,"200096_s_at","ATP6V0E1"
10039,"200097_s_at","HNRNPK"
10040,"200098_s_at","ANAPC5"
10041,"200099_s_at","RPS3A"
10042,"200593_s_at","HNRNPU"
10043,"200594_x_at","HNRNPU"
10044,"200595_s_at","EIF3A"
10045,"200596_s_at","EIF3A"
10046,"200597_at","EIF3A"
10047,"200598_s_at","HSP90B1"
10048,"200599_s_at","HSP90B1"
10049,"200600_at","MSN"
10050,"200601_at","ACTN4"
10051,"200602_at","APP"
10052,"200603_at","PRKAR1A"
10053,"200604_s_at","PRKAR1A"
10054,"200605_s_at","PRKAR1A"
10055,"200606_at","DSP"
10056,"200607_s_at","RAD21"
10057,"200608_s_at","RAD21"
10058,"200609_s_at","WDR1"
10059,"200610_s_at","NCL"
10060,"200611_s_at","WDR1"
10061,"200612_s_at","AP2B1"
10062,"200613_at","AP2M1"
10063,"200614_at","CLTC"
10064,"200615_s_at","AP2B1"
10065,"200616_s_at","MLEC"
10066,"200617_at","MLEC"
10067,"200618_at","LASP1"
10068,"200619_at","SF3B2"
10069,"200620_at","TMEM59"
10070,"200621_at","CSRP1"
10071,"200622_x_at","CALM2"
10072,"200623_s_at","CALM3"
10073,"200624_s_at","MATR3"
10074,"200625_s_at","CAP1"
10075,"200626_s_at","MATR3"
10076,"200627_at","PTGES3"
10077,"200628_s_at","WARS1"
10078,"200629_at","WARS1"
10079,"200630_x_at","SET"
10080,"200631_s_at","SET"
10081,"200632_s_at","NDRG1"
10082,"200633_at","UBB"
10083,"200634_at","PFN1"
10084,"200635_s_at","PTPRF"
10085,"200636_s_at","PTPRF"
10086,"200637_s_at","PTPRF"
10087,"200638_s_at","YWHAZ"
10088,"200639_s_at","YWHAZ"
10089,"200640_at","YWHAZ"
10090,"200641_s_at","YWHAZ"
10091,"200642_at","SOD1"
10092,"200643_at","HDLBP"
10093,"200644_at","MARCKSL1"
10094,"200645_at","GABARAP"
10095,"200646_s_at","NUCB1"
10096,"200647_x_at","EIF3C"
10097,"200648_s_at","GLUL"
10098,"200649_at","NUCB1"
10099,"200650_s_at","LDHA"
10100,"200651_at","RACK1"
10101,"200652_at","SSR2"
10102,"200653_s_at","CALM1"
10103,"200654_at","P4HB"
10104,"200655_s_at","CALM1"
10105,"200656_s_at","P4HB"
10106,"200657_at","SLC25A5"
10107,"200658_s_at","PHB1"
10108,"200659_s_at","PHB1"
10109,"200660_at","S100A11"
10110,"200661_at","CTSA"
10111,"200662_s_at","TOMM20"
10112,"200663_at","CD63"
10113,"200664_s_at","DNAJB1"
10114,"200665_s_at","SPARC"
10115,"200666_s_at","DNAJB1"
10116,"200667_at","UBE2D3"
10117,"200668_s_at","UBE2D3"
10118,"200669_s_at","UBE2D3"
10119,"200670_at","XBP1"
10120,"200671_s_at","SPTBN1"
10121,"200672_x_at","SPTBN1"
10122,"200673_at","LAPTM4A"
10123,"200674_s_at","RPL32"
10124,"200675_at","CD81"
10125,"200676_s_at","UBE2L3"
10126,"200677_at","PTTG1IP"
10127,"200678_x_at","GRN"
10128,"200679_x_at","HMGB1"
10129,"200680_x_at","HMGB1"
10130,"200681_at","GLO1"
10131,"200682_s_at","UBE2L3"
10132,"200683_s_at","UBE2L3"
10133,"200684_s_at","UBE2L3"
10134,"200685_at","SRSF11"
10135,"200686_s_at","SRSF11"
10136,"200687_s_at","SF3B3"
10137,"200688_at","SF3B3"
10138,"200689_x_at","EEF1G"
10139,"200690_at","HSPA9"
10140,"200691_s_at","HSPA9"
10141,"200692_s_at","HSPA9"
10142,"200693_at","YWHAQ"
10143,"200694_s_at","DDX24"
10144,"200695_at","PPP2R1A"
10145,"200696_s_at","GSN"
10146,"200697_at","HK1"
10147,"200698_at","KDELR2"
10148,"200699_at","KDELR2"
10149,"200700_s_at","KDELR2"
10150,"200701_at","NPC2"
10151,"200702_s_at","DDX24"
10152,"200703_at","DYNLL1"
10153,"200704_at","LITAF"
10154,"200705_s_at","EEF1B2"
10155,"200706_s_at","LITAF"
